cluster,sortino_ratio,sharpe_ratio,volatility,max_drawdown,quality_score,dividend_yield,esg_score,beta
0,0.274,0.194,0.246,-0.329,0.263,2.936,23.083,0.573
1,1.911,1.221,0.601,-0.495,0.151,0.173,21.947,1.836
2,1.417,0.984,0.254,-0.251,0.504,1.097,20.008,0.96
3,-0.578,-0.429,0.239,-0.428,1.814,5.334,25.28,0.35
